Year,Plot,Layer ,Pignatti_1982,Bartolucci et al_2024,spp_presence_cover 
2024,10,C,Sedum rupestre L. subsp. rupestre,Petrosedum rupestre (L.) P.V.Heath,+
2024,10,C,Senecio doronicum L. subsp. gerardii (G. et G.) Nyman,Senecio apenninus Tausch,1
2024,10,C,Stachys recta L. subsp. recta,Stachys recta L. subsp. recta,+
2024,10,C,Teucrium chamaedrys L.,Teucrium chamaedrys L. subsp. chamaedrys,1
2024,10,C,Thymus longicaulis Presl,Thymus longicaulis C.Presl subsp. longicaulis,+
2024,10,C,Thymus sp.,Thymus sp.,1
2024,10,C,Veronica arvensis L.,Veronica arvensis L.,+
2024,10,C,Xeranthemum cylindraceum S. et S.,Xeranthemum cylindraceum Sm.,+
2002,11,C,Aethionema saxatile (L.) R. Br.,Aethionema saxatile (L.) W.T.Aiton,p
2002,11,C,Allium sphaerocephalon L.,Allium sphaerocephalon L. subsp. sphaerocephalon,p
2002,11,C,Asperula purpurea (L.) Ehrend.,Thliphthisa purpurea (L.) P.Caputo & Del Guacchio subsp. purpurea,p
2002,11,C,Brachypodium rupestre (Host) Roem. & Schult. subsp. rupestre,Brachypodium rupestre (Host) Roem. & Schult.,p
2002,11,C,Bromus erectus Huds.,Bromopsis erecta (Huds.) Fourr.,p
2002,11,C,Carex caryophyllea La Tourr.,Carex caryophyllea Latourr.,p
2002,11,C,Centaurea ambigua Guss. subsp. ambigua,Centaurea arrigonii Greuter,p
2002,11,C,Cerastium arvense L. subsp. suffruticosum (L.) Nym.,Cerastium arvense L. subsp. suffruticosum (L.) Ces.,p
2002,11,C,Cytisus sessilifolius L.,Cytisophyllum sessilifolium (L.) O.Lang,p
2002,11,C,Dianthus sylvestris Wulfen subsp. garganicus (Grande) Pignatti,Dianthus virgineus L.,p
2002,11,C,Eryngium amethystinum L.,Eryngium amethystinum L.,p
2002,11,C,Festuca circummediterranea Patzke,Festuca circummediterranea Patzke,p
2002,11,C,Globularia punctata Lapeyr.,Globularia bisnagarica L.,p
2002,11,C,Helianthemum canum (L.) Baumg. subsp. canum,Helianthemum oelandicum (L.) Dum.Cours. subsp. incanum (Willk.) G.López,p
